TransactionID,Items
T0001,"Bread,Milk,Butter"
T0002,"Bread,Diaper,Beer"
T0003,"Milk,Diaper,Beer,Coke"
T0004,"Bread,Milk,Diaper,Beer"
T0005,"Bread,Milk,Butter"
T0006,"Eggs,Milk,Bread"
T0007,"Bread,Butter,Jam"
T0008,"Milk,Diaper,Bread,Butter"
T0009,"Beer,Chips"
T0010,"Bread,Milk,Butter,Jam"
T0011,"Bread,Milk"
T0012,"Milk,Coke"
T0013,"Bread,Butter"
T0014,"Diaper,Beer"
T0015,"Bread,Milk,Butter"
T0016,"Bread,Jam"
T0017,"Milk,Diaper"
T0018,"Bread,Milk,Beer"
T0019,"Butter,Jam"
T0020,"Bread,Milk,Diaper"
T0021,"Bread,Milk,Butter"
T0022,"Bread,Diaper,Beer"
T0023,"Milk,Diaper,Beer,Coke"
T0024,"Bread,Milk,Diaper,Beer"
T0025,"Bread,Milk,Butter"
T0026,"Eggs,Milk,Bread"
T0027,"Bread,Butter,Jam"
T0028,"Milk,Diaper,Bread,Butter"
T0029,"Beer,Chips"
T0030,"Bread,Milk,Butter,Jam"
T0031,"Bread,Milk"
T0032,"Milk,Coke"
T0033,"Bread,Butter"
T0034,"Diaper,Beer"
T0035,"Bread,Milk,Butter"
T0036,"Bread,Jam"
T0037,"Milk,Diaper"
T0038,"Bread,Milk,Beer"
T0039,"Butter,Jam"
T0040,"Bread,Milk,Diaper"
T0041,"Bread,Milk,Butter"
T0042,"Bread,Diaper,Beer"
T0043,"Milk,Diaper,Beer,Coke"
T0044,"Bread,Milk,Diaper,Beer"
T0045,"Bread,Milk,Butter"
T0046,"Eggs,Milk,Bread"
T0047,"Bread,Butter,Jam"
T0048,"Milk,Diaper,Bread,Butter"
T0049,"Beer,Chips"
T0050,"Bread,Milk,Butter,Jam"
T0051,"Bread,Milk"
T0052,"Milk,Coke"
T0053,"Bread,Butter"
T0054,"Diaper,Beer"
T0055,"Bread,Milk,Butter"
T0056,"Bread,Jam"
T0057,"Milk,Diaper"
T0058,"Bread,Milk,Beer"
T0059,"Butter,Jam"
T0060,"Bread,Milk,Diaper"
T0061,"Bread,Milk,Butter"
T0062,"Bread,Diaper,Beer"
T0063,"Milk,Diaper,Beer,Coke"
T0064,"Bread,Milk,Diaper,Beer"
T0065,"Bread,Milk,Butter"
T0066,"Eggs,Milk,Bread"
T0067,"Bread,Butter,Jam"
T0068,"Milk,Diaper,Bread,Butter"
T0069,"Beer,Chips"
T0070,"Bread,Milk,Butter,Jam"
T0071,"Bread,Milk"
T0072,"Milk,Coke"
T0073,"Bread,Butter"
T0074,"Diaper,Beer"
T0075,"Bread,Milk,Butter"
T0076,"Bread,Jam"
T0077,"Milk,Diaper"
T0078,"Bread,Milk,Beer"
T0079,"Butter,Jam"
T0080,"Bread,Milk,Diaper"
T0081,"Bread,Milk,Butter"
T0082,"Bread,Diaper,Beer"
T0083,"Milk,Diaper,Beer,Coke"
T0084,"Bread,Milk,Diaper,Beer"
T0085,"Bread,Milk,Butter"
T0086,"Eggs,Milk,Bread"
T0087,"Bread,Butter,Jam"
T0088,"Milk,Diaper,Bread,Butter"
T0089,"Beer,Chips"
T0090,"Bread,Milk,Butter,Jam"
T0091,"Bread,Milk"
T0092,"Milk,Coke"
T0093,"Bread,Butter"
T0094,"Diaper,Beer"
T0095,"Bread,Milk,Butter"
T0096,"Bread,Jam"
T0097,"Milk,Diaper"
T0098,"Bread,Milk,Beer"
T0099,"Butter,Jam"
T0100,"Bread,Milk,Diaper"
